centralRadiiAverage,leftCentralRightRadiiAverage,radiusThroughRegression,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,347.0,0.0,
757.0,2402.0,0.0,
20469.0,2773.0,0.0,
1441.0,2958.0,0.0,
1144.0,1113.0,3.3537566543424e13,
1182.0,7506.0,3.3539065177408e13,
11739.0,7809.0,3.3536197947848e13,
2246.0,7808.0,3.352976853632e13,
1360.0,2001.0,3.3511209352192e13,
2847.0,3847.0,3.3472036143104e13,
7597.0,5126.0,3.3470028671872e13,
31750.0,4835.0,3.3516041068032e13,
30791.0,3547.0,3.3522735435776e13,
44946.0,7202.0,3.3520056369536e13,
6745.0,6727.0,3.3517835913792e13,
656.0,5620.0,3.3516045246784e13,
363.0,486.0,3.3515096136768e13,
312.0,312.0,3.3514517418496e13,302
313.0,316.0,3.351412114368e13,302
323.0,318.0,3.3513972460928e13,302
314.0,319.0,3.3513941475296e13,302
324.0,337.0,3.3514073915616e13,302
366.0,345.0,3.3514197806016e13,302
375.0,409.0,3.3514242453664e13,442
485.0,448.0,3.3514188170096e13,442
506.0,512.0,3.3514096950728e13,531
516.0,518.0,3.3513978180816e13,531
518.0,503.0,3.351390191776e13,531
485.0,511.0,3.3513788691808e13,531
505.0,467.0,3.351365840656e13,466
459.0,514.0,3.3513233835008e13,466
610.0,750.0,3.3512163701312e13,
1118.0,1500.0,3.3509477406912e13,
2508.0,2643.0,3.3505135806848e13,
19642.0,5434.0,3.3513164559872e13,100000
78140.0,24165.0,3.353138795648e13,100000
31075.0,26324.0,3.3532576670208e13,100000
5662.0,23428.0,3.3529113484672e13,
857.0,3946.0,3.3527388556288e13,
498.0,570.0,3.3526539826752e13,394
407.0,429.0,3.3526483748448e13,394
440.0,415.0,3.3526762901024e13,394
391.0,425.0,3.3527207714704e13,394
478.0,465.0,3.3527566297648e13,394
767.0,3389.0,3.3527940260208e13,
4624.0,15201.0,3.3528142324912e13,
31445.0,23331.0,3.3528194449e13,100000
145479.0,23463.0,3.352758445901e13,100000
119235.0,14629.0,3.3526458076444e13,100000
88101.0,11260.0,3.351395334256e13,100000
387101.0,13758.0,3.3364319980416e13,100000
298822.0,3.154794e6,3.3744625401856e13,100000
7.557916e6,3.157762e6,3.358072057344e13,100000
238781.0,3.16271e6,3.3554500441088e13,100000
112483.0,41511.0,3.3547644662656e13,100000
39931.0,39476.0,3.354529940784e13,100000
9729.0,29318.0,3.3544240991744e13,
1853.0,6810.0,3.3544052653328e13,
1401.0,1277.0,3.3544400885488e13,1450
1170.0,1210.0,3.354469428004e13,
1186.0,1175.0,3.354493801656e13,850
1209.0,1207.0,3.3545201645916e13,850
1204.0,1191.0,3.3545590786256e13,850
1160.0,1134.0,0.0,
1133.0,1551.0,0.0,
1678.0,1445.0,0.0,
0.0,1501.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
