ID,x,y,z
,605034.3036282175,5.790135552117042e6,0.0
333163293,605117.7436717919,5.7902266174909985e6,
3209856999,605001.8590879813,5.790099535609049e6,
52682701,,5.790113401750094e6,
3634175069,604917.6514177314,5.789984255350831e6,
1585644494,604935.4005294584,5.79000903292837e6,
1585644502,604958.7912185569,5.790046959755207e6,
1585644531,604985.2880523322,,
1585644493,604909.0821833786,5.789972279192273e6,
1585644490,604894.9297085407,5.789952751947933e6,
529431889,604877.3117524193,5.789928210974841e6,
529571541,604852.4054450296,5.789894391602306e6,
529431874,604788.8060516051,5.789821142556107e6,
3209856994,604775.3624991055,5.789806148170808e6,
529411695,604698.4450430415,5.789720234190221e6,
1585644423,604666.5168873824,5.789685065516525e6,
3038991888,604655.2709750038,5.789672688269484e6,
1585644415,604643.7712444367,5.789660038638306e6,
529411692,604608.8209504511,5.789624995582557e6,
1585644398,604581.0188209008,5.7896010303804595e6,
529411687,604552.2093858453,5.789577533628001e6,
542775894,604524.0142194228,5.789558244810736e6,
